id,ts,title,_yf_slug,website,telephone,address,postal_code,latitude,longitude,email,opening_hours,description,brand,service_product,reviews,average_star
1171,2023-10-09 11:55:12,Namis Skin Care,/irvine-ca/bpp/namis-skin-care-451636887?lid=1000445463811,http://www.namiskincare.com,949-502-5050,"4482 Barranca Pkwy Ste 180, Irvine, CA, 92604",92604,33.679935,-117.80159,info@namiskincare.com,"""Mo-Th 09:00-21:00"",""Fr-Sa 09:00-19:00""",Please Contact Us For Additional Information,,"Our services; Electrolysis (Permanent Hair Removal), Facials, Microderma, Chemical Peeling, Green Peel, Acne Treatment, Endermologie (Face Contour, Cellulite treatment, Wellness), Waxing (Eyebrow designing, etc.)",,
1351,2023-10-09 13:05:06,Acosta Ignacio MD,/glendale-ca/bpp/acosta-ignacio-md-450977706?lid=1002106059608,http://www.espialaser.com,818-369-4455,"1808 Verdugo Blvd, Glendale, CA, 91208",91208,34.20552,-118.21527,npepitone@aol.com,"""Mo-Fr 09:00-17:00""","Laser Hair Removal - Vascular Lesions - Spider Veins - Brown Spots - Botox - Face Peels - Cosmetic Fillers, Juvederm, Latisse, Skin medica Peels, Cosmetic Sclerotherapy, Vivatia Skin Care, Dermapen.",,,,
1721,2023-10-09 14:48:41,Beautification Full Service Salon,/salinas-ca/bpp/beautification-full-service-salon-455065404,http://www.beautificationsalon.com,831-753-6449,"1035 S Main St, Salinas, CA, 93901",93901,36.66129,-121.65807,,"""Tu-Fr 09:00-18:00"",""Sa 10:00-17:00""",,,,,
1807,2023-10-09 15:09:48,Claudia's Body & Skin Care Center,/hayward-ca/bpp/claudias-body-skin-care-center-461698444?lid=1000687666307,http://www.claudiascenter.com,510-786-2988,"24309 Southland Dr, Hayward, CA, 94545",94545,37.653137,-122.104576,Staff@claudiascenter.com,"""Mo-Fr 09:00-19:00"",""Sa 09:00-17:00""",CONTACT US FOR MORE INFORMATION!Gift Certificates Available for all occasions and can be purchased online at www.claudiascenter.com,,"Relaxing Massages, Facials, Body Wraps, Waxing, Tinting, Permanent Cosmetics, Electrolysis, IPL Laser Hair Removal, Botox amp; Restylane, IPL Photo Rejuvention, 1540 amp; More!",,
1858,2023-10-09 15:19:37,A Personal Laser Clinic Dr Jerome Sinsky MD,/escondido-ca/bpp/a-personal-laser-clinic-dr-jerome-sinsky-md-474470038,http://www.personallaserclinic.com,760-746-1162,"255 N Elm St Ste 203, Escondido, CA, 92025",92025,33.12667,-117.07216,personallaserclinic@gmail.com,"""Mo-Tu 08:30-17:00"",""We 08:30-12:00"",""Th 08:30-17:00"",""Fr 09:00-17:00""",,,,,
2063,2023-10-09 16:32:03,Arlene's Skin Care & Electrolysis Spa,/simi-valley-ca/bpp/arlenes-skin-care-electrolysis-spa-10729076,http://www.arlenesskincare.com,805-527-4886,"1633 Erringer Rd, Simi Valley, CA, 93065",93065,34.26811,-118.76155,info@arlenesskincare.com,"""Tu 10:00-17:00"",""Th-Fr 08:00-17:00"",""Sa 08:00-15:30""",,,,,
2578,2023-10-09 19:06:06,Studio Electrology,/murrieta-ca/bpp/studio-electrology-542621627,http://www.studioelectrology.com,951-623-0586,"24849 Washington Ave, Murrieta, CA, 92562",92562,33.553143,-117.21383,urestyle@gmail.com,"""Sa-Su 10:00-17:00""",,,,,
2589,2023-10-09 19:09:56,Chaba Thai Spa,/burbank-ca/bpp/chaba-thai-spa-526131?lid=1000840049934,http://www.chabamassage.com,818-557-6261,"1212 N San Fernando Blvd, Burbank, CA, 91504",91504,34.18908,-118.319664,chabathaispa@yahoo.com,"""Mo-Su 10:00-22:00""","CHABA THAI SPA is combining international standards with Thai hospitality to deliver personal wellness programmer in a nin regimented way. Everything we do focuses on a holistic to health that incorporates mind,body and spirit.  We, at CHABA THAI SPA, believe that improving your health, both physically and mentally, can be achieve through our body treatments. We provide various types of massage and spa services. Our main goal is to give you a relaxing and experience.",,"Express Massage, Thai Yoga Massage, Chaba Combo Massage, Swedish Massage, Deep Tissue Massage, Aroma Message, Hot Stone Massage, Chaba Body Scrub Signature, Chaba Four Hands Signature, Thai Herbal Ball Massage, Reflexology Massage, Couple's Massage, Prenatal Massage",,
2779,2023-10-09 19:52:24,Susan European Beauty Therapy,/san-mateo-ca/bpp/susan-european-beauty-therapy-11394660,http://www.susaneurobeauty.com,650-579-1717,"200 Ben Franklin Ct, San Mateo, CA, 94401",94401,37.563156,-122.32446,susan.e.beauty@gmail.com,"""We-Sa 09:00-17:30""",,,,,
3173,2023-10-09 21:51:30,Bella Day Spa Salon & Boutique,/chico-ca/bpp/bella-day-spa-salon-boutique-459633144,http://www.chicodayspa.com,530-342-0434,"15 Williamsburg Ln Ste C, Chico, CA, 95926",95926,39.752743,-121.85503,BellaDaySpa@att.net,"""Tu-Fr 10:00-16:00""",,,,,
3211,2023-10-09 22:04:58,South Coast Medspa,/newport-beach-ca/bpp/south-coast-medspa-4897262,http://www.southcoastmedspa.com,949-650-7267,"2901 W Coast Hwy Ste 150, Newport Beach, CA, 92663",92663,33.620556,-117.92505,damon@southcoastmedspa.com,"""Mo 10:00-18:00"",""Tu 08:00-17:00"",""We 09:00-17:00"",""Th 08:00-20:00"",""Fr 08:00-17:00"",""Sa 09:00-17:00""",,,,,
3417,2023-10-09 23:18:16,Jane's Electrolysis,/tracy-ca/bpp/janes-electrolysis-3243008,http://radiantelectrolysis.com,209-836-9140,"329 W 11th St, Tracy, CA, 95376",95376,37.739815,-121.43064,,,,,,,
3432,2023-10-09 23:26:20,Vineyard Electrolysis & Clinical Aesthetics,/livermore-ca/bpp/vineyard-electrolysis-clinical-aesthetics-21984550,https://www.thedifferenceispermanent.com,925-443-4611,"60 Fenton St Ste 11, Livermore, CA, 94550",94550,37.677505,-121.78326,thedifferenceispermanent@gmail.com,"""Mo 08:30-16:00"",""Tu 08:30-20:00"",""Th 08:30-20:00"",""Fr 08:30-15:30""",,,,,
3759,2023-10-10 00:58:03,Never Hair Again,/aurora-co/bpp/never-hair-again-8161122,http://www.neverhairagain.com,303-400-5110,"19661 E Navarro Pl, Aurora, CO, 80013",80013,39.64329,-104.75988,louann@neverhairagain.com,"""Mo-Fr 09:00-17:00""",,,,,
3802,2023-10-10 01:12:07,Away With Hair,/fort-collins-co/bpp/away-with-hair-456607672,http://www.hairremovalfortcollins.com,970-237-1711,"135 W Swallow Rd, Fort Collins, CO, 80525",80525,40.5456,-105.07907,drakedeb@gmail.com,"""Mo-Sa 09:00-17:00""",,,,,
3807,2023-10-10 01:13:17,Xanadu Med Spa,/fort-collins-co/bpp/xanadu-med-spa-497092528,,970-482-1889,"2244 E Harmony Rd Ste 100, Fort Collins, CO, 80528",80528,40.523525,-105.03568,mark@xanadumedspa.com,"""Mo 09:00-18:00"",""Tu-Th 09:00-20:00"",""Fr 09:00-18:00"",""Sa 09:00-16:00""","Our med spa combines the best of two worlds; a relaxing and friendly day spa environment, with the advanced cosmetic procedures and expertise found at the doctor's office. Our team of highly qualified professionals have received extensive education and training in order to provide you with the most advanced treatment options in skin care, aesthetics, massage, and medical spa treatments. Xanadu Med Spa is the premier destination in Northern Colorado for top-line skin rejuvenation and anti-aging techniques. We utilize top-of-the-line aesthetic products that include SkinMedica BOTOX, JUVEDERM, and LATISSE. We are committed to exceeding your expectations and enhancing your natural beauty through our local day spa and med spa services.",,,,
4064,2023-10-10 02:42:36,Precision Electrolysis,/longmont-co/bpp/precision-electrolysis-470206810,http://www.pcelectrolysis.com,303-669-0654,"500 9th Ave Ste 6, Longmont, CO, 80501",80501,40.174065,-105.101395,gretchen0b@yahoo.com,"""Th-Su 10:00-17:00""",Electrolysis is the only FDA Approved method of permanent hair removal.,,* Hair Removal* Electrolysis* Permanent Hair Removal,,
4102,2023-10-10 03:04:25,Looks Medical Aesthetics,/loveland-co/bpp/looks-medical-aesthetics-470089484,http://www.facebook.com/looksmedicalaesthetics,970-669-1055,"1542 Boise Ave, Loveland, CO, 80538",80538,40.409004,-105.053474,info@2smartwomen.com,"""Mo 07:00-18:00"",""Tu-We 09:00-20:00"",""Th 07:00-18:00""",,,,1,5
4306,2023-10-10 04:05:19,Jane Miller Electrolysis,/danbury-ct/bpp/jane-miller-electrolysis-4027362,,203-241-9494,"9 Centennial Dr, Danbury, CT, 06811",06811,41.414764,-73.5046,janemiller@me.com,,,,,1,5
4310,2023-10-10 04:11:09,Electrologist,/danbury-ct/bpp/electrologist-9201483,https://www.electrology.com,203-730-1766,"57 North St, Danbury, CT, 06810",06810,41.406303,-73.45643,,,,,,,
4423,2023-10-10 04:56:31,LunchboxWax Riverside,/jacksonville-fl/bpp/lunchboxwax-riverside-505055422,http://www.lunchboxwax.com/riverside,904-312-9867,"1661 Riverside Ave. Suite 126, Jacksonville, FL, 32204",32204,30.31175,-81.68049,,"""Mo 09:00-18:00"",""Tu-Fr 09:00-20:00"",""Sa 10:00-16:00""",,,"Package & Series Management, Online Appointment Book & Bookings",,
4504,2023-10-10 05:26:38,Aacardi-The Salon,/saint-petersburg-fl/bpp/aacardi-the-salon-1181727,http://www.aacardi.com,727-343-1234,"4046 Park St N, Saint Petersburg, FL, 33709",33709,27.80873,-82.75405,,"""Mo 09:00-17:00"",""Tu 09:00-21:00"",""We 09:00-19:00"",""Th 09:00-21:00"",""Fr-Sa 09:00-17:00""","Aacardi is one of the largest full-service salons in the Tampa Bay region also offering salon products through the Internet. The salon s hair care services for men and women include haircut and styling, beard trim, blow dry and flat iron, braids, coloring and perming. Its hair and scalp spa treatments include strength recovery for distressed hair, color recovery for color-treated hair, softness recovery for dry and brittle hair, and smooth recovery for dry and unruly hair. It also offers reconditioning and scalp massage treatments. The company provides a wide range of nail care services, such as hand or foot gommage, hot oil manicure, French polish, nail art, light dryer, spa treatment aromatherapy manicure and pedicure, buff and polish and paraffin wax treatment for hands and feet. It also provides skin care and massage services. Aacardi offers gift certificates for all products and services and is headquartered in St. Petersburg, Fla.",,,,
4790,2023-10-10 06:42:23,Advanced Hair Removal,/gainesville-fl/bpp/advanced-hair-removal-3073762?lid=1000437178606,http://www.hairskininstitute.com,352-331-6797,"7550 W University Ave, Gainesville, FL, 32607",32607,29.65351,-82.42316,advancedhairskin@yahoo.com,"""Mo 10:00-18:00"",""Tu 09:00-19:00"",""We 09:00-18:00"",""Th 09:00-19:00"",""Fr 09:00-17:00""",Imagine living a life of full confidence. Let us create a free comprehensive and personalized treatment plan for you!,,Electrolysis,,
4983,2023-10-10 07:46:35,Threading And More,/pompano-beach-fl/bpp/threading-and-more-505805650,http://www.threadingandmore.com,754-205-7935,"3923 N Federal Hwy, Pompano Beach, FL, 33064",33064,26.279596,-80.09709,threadingandmore15@gmail.com,"""Mo-Tu 09:30-17:30"",""We-Fr 09:30-18:30"",""Sa 10:00-18:00"",""Su 11:00-13:30""","From Good to Perfect Nowadays, it’s no longer good enough to be well turned out. So how do you ensure you are in perfect shape? Visit our beauty spa and find out! owner Rupa Sodha, at Threading and more beauty Spa provides you professional services of threading and eyebrow tinting and extensions and henna tattoos in a sterile and serine environment. So with our professional services, you can be completely comfortable and walk out looking perfect and amazing. Rupa Sodha, owner of Threading and more beauty Spa, has over 15 years of experience in the beauty industry. Her clients are absolutely amazed by the results they achieve with her beauty spa treatments. Rupa is highly recognized as one of the best threading specialist in Fort Lauderdale.",,,,
5497,2023-10-10 10:44:37,Glow Medical Spa,/savannah-ga/bpp/glow-medical-spa-480195236,http://www.glowsavannah.com,912-303-9611,"415 Eisenhower Dr, Savannah, GA, 31406",31406,32.007442,-81.10465,contact@glowsavannah.com,"""Tu-Sa 10:00-18:00""","Glow Medical Spas have two locations and are the largest, most all-inclusive and award-winning Spas and Medical Spas in Savannah where pampering and science meet to create gorgeous results all in a luxurious atmosphere you will never want to leave! Located in downtown Savannah, Glow at Perry Lane and Midtown Savannah. Always voted Best Medical Spa in the Coastal Empire by Savannah Morning News Named Savannah Chamber of Commerce Business Of The Year Winner Best of Savannah Magazine 11 years in a row! Best Medical Spa, Best Facial and Best Massage! Winner Best Medical Spa 8 Years in a row Connect Savannah Magazine.Glow Medical Spas have two locations and are the largest, most all-inclusive and award-winning Spas and Medical Spas in Savannah where pampering and science meet to create gorgeous results all in a luxurious atmosphere you will never want to leave! Located in downtown Savannah, Glow at Perry Lane and Midtown Savannah. Always voted Best Medical Spa in the Coastal Empire by Savannah Morning News Named Savannah Chamber of Commerce Business Of The Year Winner Best of Savannah Magazine 11 years in a row! Best Medical Spa, Best Facial and Best Massage! Winner Best Medical Spa 8 Years in a row Connect Savannah Magazine.",,,,
5917,2023-10-10 12:50:56,The Wax Room,/rockford-il/bpp/the-wax-room-527292946,http://www.thewaxroom.com,815-391-6609,"6551 E Riverside Blvd Ste 101, Rockford, IL, 61114",61114,42.3185,-88.988716,traci@thewaxroom.com,,,,,,
6267,2023-10-10 14:45:35,Cinderella Electrolysis,/arlington-heights-il/bpp/cinderella-electrolysis-23056215,http://www.cinderellahairremoval.com,847-394-8400,"1430 N Arlington Heights Rd Ste 101, Arlington Heights, IL, 60004",60004,42.101627,-87.98071,cinderellalaser@aol.com,"""Mo 08:30-16:30"",""Tu 12:00-20:00"",""Th 12:00-20:00"",""Fr 08:30-16:30""","Carefree, Smooth, Confident.You can stop shaving, waxing, plucking, and bleaching today! Cinderella Electrolysis, located in Arlington Heights, IL, helps men, women, and teens to become care and hair free. With the latest use of laser hair removal technology and under the watchful eye of Dr. Lawrence Martin FACS, we look forward to serving you and adding some sexy confidence into your life.Utilizing superior electrolysis and laser hair removal methods, we can provide outstanding results for permanent hair reduction. Our process is always quick and comfortable, for your ultimate convenience. No matter where you have hair, we can help! At Cinderella Electrolysis, we focus on a variety of body areas, including: Laser Hair Removal Upper/Lower Lip Back Chest Bikini Area Legs/Arms FaceWith over 20 years of experience, the Cinderella Electrolysis team will always listen to your specific needs and desires before developing a treatment plan that best suits you. Youll love our relaxing environment and friendly, approachable staff members.We are Members of SCMR and are state licensed.Our schedule is always flexible. Call us today to schedule your free consultation!",,Electrolysis Hair Removal Laser Hair Removal,,
6482,2023-10-10 16:03:04,"Freel, Arlene R E Electrolysis",/south-bend-in/bpp/freel-arlene-r-e-electrolysis-525662710?lid=1001458830869,,574-234-6101,"1635 N Ironwood Dr Ste 7, South Bend, IN, 46635",46635,41.697624,-86.21668,,"""Mo-Tu 13:00-18:00"",""Th-Sa 13:00-18:00""","Arlene Freel is a licensed Electrolysis, and has been serving the Michiana area for over 40 years. Our office service ages 11 years & up. We cover Eyebrows, legs, bikini area etc.",,Electrologists,,
6601,2023-10-10 16:34:49,Dermatology Inc - Carmel,/carmel-in/bpp/dermatology-inc-carmel-467789838?lid=1000621584385,http://www.dermatologyinc.com,317-926-3739,"11900 N Pennsylvania St, Carmel, IN, 46032",46032,39.9627,-86.15572,,"""Mo-Fr 09:00-17:00""",,,,,
7006,2023-10-10 18:55:32,Barbara's Electrology Clinic,/topeka-ks/bpp/barbaras-electrology-clinic-461743798,http://www.electrologyworks.com,785-266-0982,"2201 SW Washburn Ave, Topeka, KS, 66611",66611,39.02855,-95.697075,electrologyworks@gmail.com,"""Tu 12:30-19:00"",""We 09:00-19:00"",""Fr 09:00-19:00"",""Sa 09:00-15:00""",,,,,
7101,2023-10-10 19:51:00,Smooth Skin by Lynn,/lexington-ky/bpp/smooth-skin-by-lynn-462197543,http://www.smoothskinbylynn.com,859-489-9768,"101 Malabu Dr Ste 4, Lexington, KY, 40503",40503,38.003155,-84.51831,lynn@smoothskinbylynn.com,"""Mo-Fr 09:00-17:00"",""Sa 08:00-14:00""",,,Electrolysis-Permanent Hair Removal,,
7147,2023-10-10 20:24:54,Kitty McCarroll - Laura LeBlanc Electrologists,/baton-rouge-la/bpp/kitty-mccarroll-laura-leblanc-electrologists-468228227?lid=1001280155745,https://kittymccarroll.wordpress.com,225-924-1118,"5700 Florida Blvd, Baton Rouge, LA, 70806",70806,30.45085,-91.132,,,,,Consultations,,
7354,2023-10-10 22:06:19,The Laser Skin Center,/boston-ma/bpp/the-laser-skin-center-9491928,http://www.laserskincenterboston.com,617-266-5555,"119 Newbury St Ste 2, Boston, MA, 02116",02116,42.351402,-71.07636,contact@laserskincenterboston.com,"""Mo-Th 10:00-20:00"",""Fr-Sa 10:00-17:00""",,,,3,5
7498,2023-10-10 23:38:26,Image Care Electrolysis,/cambridge-ma/bpp/image-care-electrolysis-13447277,http://imagecare-electrolysis.com,617-864-6243,"1426 Cambridge St, Cambridge, MA, 02139",02139,42.373737,-71.10189,,"""Mo-Tu 13:00-21:00"",""We 00:15-21:00"",""Th-Fr 13:00-21:00"",""Sa 08:00-16:00""",,,,3,5
7518,2023-10-10 23:53:23,Cindy Amancio,/north-dartmouth-ma/bpp/cindy-amancio-8841295?lid=1002108135559,http://www.cindyamancioelectrolysis.com,774-929-8194,"94 Faunce Corner Mall Rd, North Dartmouth, MA, 02747",02747,41.6488,-70.98874,cindyamanciore@gmail.com,"""Mo-Fr 08:00-17:00""","Cindy Amancio is a registered electrologist, combining years of experience with a commitment to client satisfaction. My practice provides the highest level of care for all aspects of facial skin care, featuring electrolysis treatment and laser hair removal. We are conveniently located near the Dartmouth Mall.",,,1,1
7572,2023-10-11 00:21:55,Christine's Electrology & Day,/quincy-ma/bpp/christines-electrology-day-11746192,http://www.quincyspa.com,617-786-1620,"65 Willard St, Quincy, MA, 02169",02169,42.252876,-71.03778,marketing@thebackyardboyntonbeach.com,"""Tu"",""We-Fr 10:00-20:00"",""Sa 10:00-17:00""",,,,14,5
7690,2023-10-11 01:08:36,Andover Hair Removal Center,/andover-ma/bpp/andover-hair-removal-center-467715531?lid=1002109698576,http://andoverhairremoval.com,978-289-9276,"13 Main St #3, Andover, MA, 01810",01810,42.656326,-71.1406,ra.peterson@icloud.com,"""Mo-Fr 00:00-12:00""","Permanent hair removal for your face and body has never been easier. Andover Hair Removal Center offers the latest technology to permanently remove hair for all ages, skin tones and genders. Our professional and accredited staff offers informative consultations to help you. We specialize in permanently shaping eyebrows, and also removing hair from : face, upper lip and chin, arms and underarms, abdomen, bikini lines, legs and thighs, fingers and toes, ears and glabellas (between eyebrows). Owner, Rachel Peterson is licensed and a member of the American Electrology Association and the Massachusetts Association of Electrologists. She is also a licensed instructor for the State of Massachusetts. Stop by or call today for more information or to set up a consultation.",,,,
8060,2023-10-11 04:18:46,Apiderm Laser & Skin Care Center,/troy-mi/bpp/apiderm-laser-skin-care-center-2800832,http://www.apiderm.com,248-528-2028,"2221 Livernois Rd Ste 107, Troy, MI, 48083",48083,42.555008,-83.147514,apiderm@sbcglobal.net,"""Mo 09:30-20:00"",""Tu 09:00-15:00"",""We 09:30-20:00"",""Th-Fr 10:00-19:00"",""Sa 09:00-15:00""",,,,,
8072,2023-10-11 04:28:42,Ageless Image,/farmington-hills-mi/bpp/ageless-image-529538601,,248-212-0799,"28800 Orchard Lake Rd Ste 110, Farmington Hills, MI, 48334",48334,42.50823,-83.358894,info@agelessimage.com,"""Mo 10:00-17:00"",""Tu 10:00-19:00"",""We-Th 10:00-17:00"",""Fr 10:00-19:00"",""Sa 12:00-16:00""",,,,,
8643,2023-10-11 08:09:05,Akira Spa & Salon,/lees-summit-mo/bpp/akira-spa-salon-3145073,http://www.akiraspaandsalon.com,816-554-4772,"1631 NE Douglas St, Lees Summit, MO, 64086",64086,38.941082,-94.378044,info@akiraspaandsalon.com,"""Tu 10:00-18:00"",""We-Th 10:00-20:00"",""Fr 09:00-17:00"",""Sa 09:00-16:00""",,,,1,5
